"filename", "language", "TOML", "JSON", "Rust", "Markdown", "OpenGL Shading Language", "comment", "blank", "total"
"/home/idra/GitHub/transfer-window/Cargo.lock", "TOML", 3606, 0, 0, 0, 0, 2, 410, 4018
"/home/idra/GitHub/transfer-window/Cargo.toml", "TOML", 37, 0, 0, 0, 0, 2, 4, 43
"/home/idra/GitHub/transfer-window/common/Cargo.toml", "TOML", 12, 0, 0, 0, 0, 0, 2, 14
"/home/idra/GitHub/transfer-window/common/src/lib.rs", "Rust", 0, 0, 1, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/common/src/numerical_methods.rs", "Rust", 0, 0, 7, 0, 0, 4, 0, 11
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/bisection.rs", "Rust", 0, 0, 38, 0, 0, 3, 4, 45
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/closest_ellipse_point.rs", "Rust", 0, 0, 25, 0, 0, 5, 11, 41
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/halley.rs", "Rust", 0, 0, 60, 0, 0, 0, 8, 68
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/itp.rs", "Rust", 0, 0, 13, 0, 0, 2, 2, 17
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/laguerre.rs", "Rust", 0, 0, 66, 0, 0, 1, 6, 73
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/newton_raphson.rs", "Rust", 0, 0, 58, 0, 0, 0, 6, 64
"/home/idra/GitHub/transfer-window/common/src/numerical_methods/util.rs", "Rust", 0, 0, 33, 0, 0, 3, 11, 47
"/home/idra/GitHub/transfer-window/controller/Cargo.toml", "TOML", 19, 0, 0, 0, 0, 0, 4, 23
"/home/idra/GitHub/transfer-window/controller/src/event_handler.rs", "Rust", 0, 0, 99, 0, 0, 3, 21, 123
"/home/idra/GitHub/transfer-window/controller/src/main.rs", "Rust", 0, 0, 82, 0, 0, 0, 19, 101
"/home/idra/GitHub/transfer-window/model/Cargo.toml", "TOML", 20, 0, 0, 0, 0, 0, 3, 23
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/collision-with-moon/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/collision-with-moon/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 1, 7
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/collision-with-moon/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/encounter-with-earth-and-moon/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/encounter-with-earth-and-moon/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/encounter-with-earth-and-moon/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/encounter-with-earth/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/encounter-with-earth/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/encounter-with-earth/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-earth/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-earth/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-earth/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-moon-1/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-moon-1/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-moon-1/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-moon-2/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-moon-2/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/escape-from-moon-2/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-1/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-1/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-1/objects.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 35
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-2/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-2/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-2/objects.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 35
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-3/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-3/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-3/objects.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 35
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-4/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-4/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-4/objects.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 35
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-5/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-5/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/hyperbolic-moon-encounter-5/objects.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 35
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-1/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-1/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-1/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-2/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-2/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-2/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-3/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-3/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/insanity-3/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/many-moon-encounters/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/many-moon-encounters/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/many-moon-encounters/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/moon-slingshot-to-escape-earth/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/moon-slingshot-to-escape-earth/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/moon-slingshot-to-escape-earth/objects.json", "JSON", 0, 28, 0, 0, 0, 0, 0, 28
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/no-encounters/encounters.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"/home/idra/GitHub/transfer-window/model/resources/prediction-test-cases/no-encounters/metadata.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 6
